name,developer,price
Lugaru HD,Wolfire Games,2999
Cricket Revolution,Wolfire Games,999
Eschalon: Book I,Mindstorm Studios,299
Eschalon: Book II,Basilisk Games,0
Madballs in Babo:Invasion,Basilisk Games,599
Europa Universalis III Complete,Playbrains,499
Europa Universalis III: Divine Wind,Paradox Development Studio,374
Knights of Honor,Paradox Development Studio,499
Elven Legacy,Black Sea Studios Ltd,999
Hearts of Iron III,1C:InoCo,499
King's Bounty: The Legend,Paradox Development Studio,999
Supreme Ruler 2020 Gold,1C Entertainment,699
East India Company,BattleGoat Studios,999
Majesty 2,Nitro Games,999
Majesty Gold HD,1C:InoCo,999
The Maw,Cyberlore,999
Drug Wars,Twisted Pixel Games,999
Cogs,Paleo Entertainment,499
Braid,Lazy 8 Studios,599
Crayon Physics Deluxe,Number None,499
The Path,Kloonigames,1999
The Graveyard,Tale of Tales,999
Fatale,Tale of Tales,499
Summer Athletics,Tale of Tales,699
Dangerous High School Girls in Trouble!,49 Games,1999
Space Giraffe,Mousechief,1999
Gridrunner Revolution,Llamasoft LTD,999
Twin Sector,Llamasoft LTD,999
Booster Trooper,DnS Development,499
Dead Horde,DnS Development,199
Kane & Lynch 2: Dog Days,DnS Development,599
Yumsters 2: Around the World,IO Interactive,999
Musaic Box,KranX Productions,499
Blueberry Garden,KranX Productions,499
Osmos,Erik SvedÃ¤ng,499
Guild Wars Game of the Year Edition,Hemisphere Games,999
Guild Wars Factions,ArenaNetÂ®,1999
Guild Wars Trilogy,ArenaNetÂ®,1999
